grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07,pen_sv_08,pen_sv_09
0,10001,17,9,255,10,0,15.800753593444824,5.159234523773193,4.756093978881836,4.72438907623291,4.68962287902832,4.564792156219482,4.472314834594727,4.071253299713135,3.9330997467041016,3.689542770385742,3.5145909786224365,3.411080837249756,3.314270496368408,3.1893975734710693,3.0022130012512207,2.7448043823242188,2.6880381107330322,11.86303424835205,4.8396382331848145,4.604564666748047,4.139589309692383,4.126176357269287,3.671408176422119,3.4554758071899414,3.238943099975586,3.132279634475708
0,10001,17,9,255,10,1,22.704626083374023,3.5972273349761963,3.451540470123291,3.2217514514923096,3.1700000762939453,3.0964303016662598,3.0319976806640625,2.950631856918335,2.838313102722168,2.7823359966278076,2.719181776046753,2.659029245376587,2.6147170066833496,2.5577917098999023,2.363797903060913,2.2149531841278076,2.0556368827819824,16.83315086364746,3.340827465057373,3.20831036567688,3.004758358001709,2.8816115856170654,2.737097978591919,2.6154062747955322,2.5418946743011475,2.4625167846679688
5000,15001,17,9,252,15,0,2195.212646484375,70.1163101196289,43.38137435913086,34.662574768066406,28.384769439697266,25.62213134765625,22.812467575073242,18.667356491088867,17.32585334777832,15.584049224853516,14.197809219360352,12.929407119750977,12.648087501525879,11.585728645324707,11.146915435791016,10.362883567810059,9.303993225097656,1601.0272216796875,40.768341064453125,29.811288833618164,23.60647964477539,18.876785278320312,14.824346542358398,12.734014511108398,11.359223365783691,9.552229881286621
5000,15001,17,9,252,15,1,2191.878662109375,69.04810333251953,41.45482635498047,34.557769775390625,27.834136962890625,25.80316734313965,23.826257705688477,18.973329544067383,17.7189998626709,15.47358226776123,14.992039680480957,14.2699613571167,12.89742374420166,11.822476387023926,11.432962417602539,10.996959686279297,10.004037857055664,1598.883056640625,39.845130920410156,29.229982376098633,24.1392879486084,18.476167678833008,15.014700889587402,13.312003135681152,11.959796905517578,10.617948532104492
10000,20001,17,9,252,20,0,2083.084228515625,84.04907989501953,52.59518051147461,36.36241912841797,29.69329833984375,22.0860652923584,20.981657028198242,17.52389144897461,16.7790584564209,16.28388786315918,14.181554794311523,12.99698543548584,12.73618221282959,11.158761978149414,10.212540626525879,9.894529342651367,9.36533260345459,1518.0972900390625,49.1554069519043,29.84078598022461,21.36486053466797,16.618160247802734,14.878072738647461,12.589004516601562,10.961396217346191,9.814262390136719
10000,20001,17,9,252,20,1,2076.69482421875,81.84797668457031,51.914085388183594,36.28974533081055,28.763879776000977,21.474149703979492,20.69375991821289,17.777725219726562,15.842710494995117,15.690653800964355,14.078133583068848,12.990462303161621,10.970560073852539,10.773180961608887,10.625566482543945,9.869274139404297,9.272496223449707,1513.089111328125,47.33805847167969,29.907573699951172,20.376657485961914,17.08907699584961,13.418519020080566,12.106927871704102,10.972200393676758,10.486104011535645
15000,25001,17,9,255,25,0,1101.67822265625,6.193060398101807,3.7106528282165527,2.9900054931640625,2.626608371734619,2.2399086952209473,2.051433563232422,1.900275707244873,1.7461944818496704,1.6404452323913574,1.4693479537963867,1.2407976388931274,1.1159831285476685,1.079222321510315,1.0232406854629517,0.9428237676620483,0.8741618394851685,801.8093872070312,3.8131895065307617,2.850524425506592,2.030916213989258,1.7784405946731567,1.496328353881836,1.1991572380065918,1.0506632328033447,0.9986163377761841
15000,25001,17,9,255,25,1,1098.66162109375,6.219432353973389,3.429811716079712,2.931854724884033,2.5510528087615967,2.2349793910980225,2.090009927749634,1.9160324335098267,1.8470127582550049,1.681497573852539,1.5632327795028687,1.3580303192138672,1.2441619634628296,1.1165820360183716,1.061456561088562,0.961906909942627,0.9231877326965332,799.5982055664062,3.663980484008789,2.5612215995788574,2.0118696689605713,1.8883782625198364,1.55866277217865,1.33527672290802,1.0925322771072388,1.0225157737731934
20000,30001,17,9,249,30,0,512.1780395507812,3.6827170848846436,1.5599170923233032,1.2674243450164795,0.9545882344245911,0.8326160907745361,0.7190961241722107,0.6140894889831543,0.5247125029563904,0.5059062242507935,0.465169221162796,0.4535449147224426,0.4305068254470825,0.3827022612094879,0.35989463329315186,0.3333776295185089,0.2941609025001526,372.935791015625,1.8435766696929932,0.9916097521781921,0.7253805994987488,0.571774959564209,0.4910529851913452,0.44365766644477844,0.3729916512966156,0.3509253263473511
20000,30001,17,9,249,30,1,512.218994140625,3.5056324005126953,1.572527289390564,1.254407286643982,1.0015678405761719,0.8731729984283447,0.7761911749839783,0.7272961139678955,0.6897687911987305,0.6071901917457581,0.5803890228271484,0.5134015083312988,0.44719576835632324,0.40755775570869446,0.3953617513179779,0.3623155653476715,0.33771687746047974,372.93133544921875,1.7982934713363647,1.0625710487365723,0.7665691375732422,0.7165525555610657,0.5835299491882324,0.5195017457008362,0.42713576555252075,0.3618377149105072
25000,35001,17,9,251,35,0,100.0384750366211,2.338139057159424,1.1351826190948486,0.7838422656059265,0.6206308603286743,0.5349794030189514,0.4537332057952881,0.3998519778251648,0.37481871247291565,0.34946876764297485,0.3383171558380127,0.2844659984111786,0.2682913839817047,0.2612640857696533,0.2385501265525818,0.22578679025173187,0.21807102859020233,72.86746978759766,1.2226853370666504,0.6994603872299194,0.5005309581756592,0.3828062117099762,0.3459949791431427,0.2668505609035492,0.2459884136915207,0.23238690197467804
25000,35001,17,9,251,35,1,99.01421356201172,2.202545404434204,1.0474616289138794,0.759276270866394,0.6324788928031921,0.5313353538513184,0.42694664001464844,0.3581191897392273,0.32254040241241455,0.29513636231422424,0.2856335937976837,0.27639421820640564,0.24946483969688416,0.24100759625434875,0.2283659428358078,0.21355709433555603,0.21204328536987305,72.09896087646484,1.1418131589889526,0.6814700961112976,0.45916032791137695,0.3247690200805664,0.3102736175060272,0.2654830813407898,0.23880009353160858,0.2337978631258011
30000,40001,17,9,252,40,0,215.59373474121094,2.68656063079834,1.1692863702774048,0.6774826645851135,0.599709153175354,0.5322670936584473,0.44861742854118347,0.40150216221809387,0.38406533002853394,0.3497142195701599,0.30257564783096313,0.280398428440094,0.2611829340457916,0.25878995656967163,0.22724245488643646,0.2251332700252533,0.20947031676769257,157.10752868652344,1.2810473442077637,0.6126124262809753,0.45320823788642883,0.37886059284210205,0.34031787514686584,0.2809103727340698,0.25935646891593933,0.2199900597333908
30000,40001,17,9,252,40,1,215.07826232910156,2.5616750717163086,1.0632214546203613,0.6419818997383118,0.5673335194587708,0.46068549156188965,0.4446414113044739,0.3601343333721161,0.3521011471748352,0.3298405408859253,0.30950161814689636,0.2784411907196045,0.2664777934551239,0.24370042979717255,0.24037842452526093,0.23118719458580017,0.20788970589637756,156.72959899902344,1.1972522735595703,0.606948733329773,0.4356032907962799,0.352009654045105,0.32677844166755676,0.28381121158599854,0.2646588087081909,0.2333533763885498
