episode,reward,steps
0,-15.936214,36
1,5.216491,34
2,-21.530418,38
3,-1.409144,43
4,-16.989843,27
5,-17.461606,42
6,4.832101,11
7,-63.672866,222
8,-13.320758,28
9,-33.656329,56
10,-367.833179,1000
11,-30.942826,85
12,-31.176425,96
13,-21.678315,141
14,-15.540394,56
15,-36.507069,45
16,14.143515,105
17,-25.968521,25
18,-12.662025,52
19,-62.551408,70
20,7.182615,19
21,-39.427397,53
22,-5.233293,54
23,1.125139,112
24,-21.445991,56
25,4.689016,31
26,0.152136,17
27,-18.988765,87
28,-8.023016,18
29,5.034579,45
30,-88.61605,299
31,-355.780343,1000
32,-46.599146,107
33,-3.629377,17
34,7.419575,33
35,-34.621777,65
36,-20.30598,84
37,-75.188916,218
38,-288.011252,1000
39,-5.734311,89
40,-20.003937,31
41,4.932141,183
42,-2.953861,39
43,-54.990257,112
44,-44.675718,83
45,4.869962,71
46,-24.605807,70
47,6.988772,32
48,-22.265994,57
49,5.245448,46
50,-7.576793,20
51,-17.789452,138
52,-42.742332,90
53,-64.305615,108
54,-0.30455,20
55,-85.679762,113
56,-411.740117,1000
57,-10.900318,54
58,10.629877,36
59,-50.424619,94
60,-57.705646,141
61,-61.881885,165
62,-14.989611,17
63,-24.184543,33
64,-45.03388,65
65,-90.674759,128
66,-49.882825,68
67,3.231965,15
68,30.974229,68
69,-388.510863,1000
70,-26.072971,52
71,-28.027753,70
72,-55.833885,123
73,-109.202813,186
74,-50.897166,121
75,-8.084604,29
76,-52.201012,103
77,-19.570414,42
78,-17.962912,114
79,-121.189552,167
80,-11.399968,24
81,-17.257263,59
82,-444.463316,1000
83,-39.377674,67
84,-51.287886,50
85,-22.479584,35
86,-47.13011,112
87,-33.609734,50
88,-22.713436,102
89,-17.362558,44
90,-25.399128,54
91,11.88142,62
92,-8.319984,18
93,-491.998757,1000
94,-37.782626,67
95,-453.985972,1000
96,-42.2895,50
97,-4.661585,14
98,-100.993118,221
99,-6.318981,67
100,-79.217607,70
101,-2.736555,96
102,-425.161436,1000
103,-366.994443,1000
104,-263.779613,652
105,-232.045921,1000
106,-119.899577,662
107,2.931637,154
108,-53.71094,1000
109,12.38062,1000
110,139.713901,516
111,100.398295,210
112,61.694368,625
113,241.838465,1000
114,434.330603,1000
115,187.635899,1000
116,174.757842,1000
117,211.129451,454
118,169.10134,1000
119,85.135946,118
120,203.732254,363
121,198.196401,1000
122,160.336791,1000
123,252.907562,1000
124,76.412237,122
125,38.886658,70
126,185.037974,1000
127,242.646187,361
128,284.21634,1000
