grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03,pen_sv_04,pen_sv_05,pen_sv_06,pen_sv_07
0,10001,17,7,251,10,0,8.514538764953613,4.509583950042725,4.38642692565918,4.275768280029297,4.046211242675781,3.956099510192871,3.9188549518585205,3.8404552936553955,3.700396776199341,3.533254623413086,3.448671579360962,3.4070472717285156,3.2422046661376953,3.103423833847046,2.966888427734375,2.542130708694458,2.33335280418396,5.803371906280518,4.186267852783203,3.982609510421753,3.6610515117645264,3.590162992477417,3.2705202102661133,2.724325180053711
0,10001,17,7,251,10,1,12.224997520446777,4.137818336486816,4.0747575759887695,3.748991012573242,3.649998188018799,3.4905998706817627,3.417133331298828,3.4016780853271484,3.336118459701538,3.1902623176574707,3.1296660900115967,3.003678560256958,2.828233242034912,2.7480268478393555,2.671863555908203,2.547605514526367,2.361015558242798,8.102456092834473,3.861248254776001,3.4002246856689453,3.2551465034484863,3.1483616828918457,2.94354248046875,2.8147809505462646
5000,15001,17,7,248,15,0,2143.94921875,66.39325714111328,39.79206848144531,32.22414779663086,26.27643394470215,22.659940719604492,21.907869338989258,17.598718643188477,14.451061248779297,14.05863094329834,12.641335487365723,12.52500057220459,11.408966064453125,10.558636665344238,9.836980819702148,9.322537422180176,8.666662216186523,1375.5865478515625,34.488922119140625,23.084346771240234,15.784797668457031,13.46153450012207,11.068055152893066,9.822169303894043
5000,15001,17,7,248,15,1,2150.13818359375,65.69551849365234,39.244083404541016,31.596466064453125,26.46251678466797,22.679147720336914,20.94127082824707,17.67983627319336,15.698451042175293,14.862865447998047,13.228292465209961,12.085810661315918,11.436652183532715,10.711910247802734,10.045727729797363,9.494762420654297,9.116772651672363,1379.13916015625,34.388343811035156,22.716562271118164,16.476343154907227,14.414345741271973,11.880528450012207,9.972039222717285
10000,20001,17,7,250,20,0,1943.6290283203125,64.90502166748047,45.55616760253906,31.283123016357422,25.608139038085938,23.520729064941406,20.941713333129883,17.798463821411133,14.352663040161133,14.044828414916992,12.086329460144043,10.93809700012207,10.567180633544922,9.399471282958984,9.165251731872559,8.778338432312012,8.323755264282227,1243.096435546875,33.76620864868164,22.777755737304688,16.487655639648438,12.700088500976562,10.566786766052246,8.871089935302734
10000,20001,17,7,250,20,1,1942.5994873046875,64.79447174072266,44.93791961669922,30.729232788085938,26.97101593017578,22.84248924255371,20.3176326751709,17.080074310302734,14.6117525100708,14.43328857421875,12.532803535461426,10.964971542358398,10.334405899047852,9.935676574707031,9.452190399169922,9.025788307189941,8.17831039428711,1242.19384765625,34.32981491088867,22.783605575561523,16.41644859313965,12.715437889099121,10.223925590515137,8.792085647583008
15000,25001,17,7,252,25,0,1343.65771484375,41.87537384033203,24.31287956237793,19.82573890686035,16.402423858642578,13.40626049041748,10.37551498413086,9.835166931152344,7.726374626159668,6.817439079284668,5.975571632385254,4.894154071807861,3.77378249168396,2.510749578475952,2.284949541091919,1.7900681495666504,1.6363935470581055,862.73291015625,20.921958923339844,13.657393455505371,9.260703086853027,6.274542331695557,3.722975969314575,1.9454402923583984
15000,25001,17,7,252,25,1,1343.9017333984375,41.27326965332031,23.704626083374023,19.57526397705078,15.654359817504883,14.168716430664062,10.638967514038086,10.049383163452148,8.340289115905762,6.8964056968688965,5.504718780517578,4.373269081115723,4.229518890380859,2.7451632022857666,2.058962345123291,1.6756795644760132,1.5647038221359253,863.183349609375,20.649887084960938,13.624862670898438,9.402935028076172,5.699586391448975,3.818952798843384,1.808455467224121
20000,30001,17,7,252,30,0,817.0713500976562,39.92337417602539,20.871858596801758,15.698800086975098,12.669445991516113,10.967097282409668,8.62200927734375,7.918156147003174,6.695340156555176,5.486288547515869,4.28085994720459,3.5557024478912354,2.779614210128784,2.014077663421631,1.5564334392547607,1.3933950662612915,1.2680515050888062,524.6696166992188,17.570302963256836,11.384048461914062,7.161779403686523,3.9021778106689453,3.0580577850341797,1.5479891300201416
20000,30001,17,7,252,30,1,816.1911010742188,39.14147186279297,20.52866554260254,15.775383949279785,12.662357330322266,11.161938667297363,8.798558235168457,7.471561431884766,6.30397891998291,5.1893510818481445,4.0818328857421875,3.5578198432922363,2.933105707168579,2.090773105621338,1.5812705755233765,1.3889923095703125,1.3079984188079834,523.9450073242188,17.279510498046875,11.77015209197998,7.153355598449707,4.43342399597168,2.933958053588867,1.5661141872406006
25000,35001,17,7,254,35,0,451.71234130859375,36.45285415649414,22.04031753540039,14.871200561523438,12.691161155700684,11.099092483520508,8.997639656066895,7.215768814086914,5.90286111831665,5.017246246337891,4.041214942932129,3.1884679794311523,2.3923025131225586,2.0487723350524902,1.766196608543396,1.1451483964920044,0.9017297625541687,286.1385803222656,16.1610164642334,11.324031829833984,6.891184329986572,4.098311901092529,2.539626359939575,1.5315666198730469
25000,35001,17,7,254,35,1,453.8690490722656,36.31597900390625,22.476423263549805,14.833605766296387,12.685382843017578,11.019885063171387,8.864618301391602,7.188162803649902,5.937224864959717,5.28134298324585,4.079011917114258,2.915158748626709,2.54904842376709,1.8462340831756592,1.6175144910812378,1.304998755455017,1.1052589416503906,287.73077392578125,16.563508987426758,11.355660438537598,7.016134262084961,4.008334159851074,2.2020986080169678,1.476088047027588
30000,40001,17,7,254,40,0,170.05340576171875,27.6697940826416,16.677846908569336,10.835092544555664,10.38659381866455,8.243377685546875,7.460959434509277,5.74984884262085,4.94618558883667,3.645756483078003,3.329352378845215,2.1283812522888184,1.6591860055923462,1.1836066246032715,0.976696252822876,0.7186495065689087,0.6712153553962708,114.23961639404297,14.708447456359863,9.065488815307617,5.446455478668213,3.173985242843628,1.6940892934799194,0.9756925106048584
30000,40001,17,7,254,40,1,170.2855224609375,27.878742218017578,16.933746337890625,11.015894889831543,10.263858795166016,9.043281555175781,7.2226667404174805,5.802670955657959,5.094056606292725,3.6594088077545166,3.2731246948242188,2.4248852729797363,1.5318305492401123,1.1417088508605957,0.8459945321083069,0.7769532203674316,0.7040972709655762,114.39159393310547,14.992749214172363,9.118913650512695,5.752564430236816,3.1720407009124756,1.691284418106079,0.9011669754981995
35000,45001,17,7,249,45,0,313.4864196777344,25.254579544067383,13.963944435119629,11.486557960510254,10.17919921875,9.529683113098145,7.179765701293945,5.921785831451416,5.136192321777344,3.8916664123535156,3.158684730529785,2.141206741333008,1.4087129831314087,1.0722769498825073,0.8715077638626099,0.6738506555557251,0.5562688112258911,202.67666625976562,11.67457389831543,9.455209732055664,5.2300639152526855,3.121100425720215,1.7392305135726929,0.8238656520843506
35000,45001,17,7,249,45,1,314.3925476074219,25.609485626220703,13.873819351196289,11.355908393859863,9.872374534606934,9.063638687133789,6.726110935211182,5.770742893218994,5.07408332824707,3.752436637878418,3.150418996810913,2.3347105979919434,1.6259119510650635,1.172306776046753,0.937550961971283,0.869310736656189,0.8000126481056213,203.33575439453125,11.429369926452637,9.16004753112793,5.334232330322266,3.1508471965789795,1.8221893310546875,0.9544614553451538
40000,50001,17,7,253,50,0,526.7702026367188,25.51024055480957,17.713821411132812,14.403098106384277,12.08985710144043,9.51190185546875,7.275696754455566,6.399405002593994,5.170355796813965,3.6491880416870117,2.7517194747924805,2.3925790786743164,1.6709312200546265,1.0824843645095825,0.8156843781471252,0.7240544557571411,0.6659454703330994,339.0140686035156,14.12508487701416,10.209012031555176,5.830703258514404,3.0116519927978516,1.9623355865478516,0.8311699628829956
40000,50001,17,7,253,50,1,527.45751953125,26.067626953125,17.39672088623047,14.801899909973145,12.165489196777344,9.11551570892334,7.005559921264648,6.050186634063721,5.2062201499938965,3.8722102642059326,2.7078988552093506,2.3402764797210693,1.7302422523498535,1.1206036806106567,0.8071340918540955,0.7299486994743347,0.6657561659812927,339.5238037109375,14.490580558776855,9.934401512145996,5.706724166870117,2.9204113483428955,1.7679247856140137,0.8373495936393738
45000,55001,17,7,251,55,0,647.5060424804688,32.43064880371094,20.161108016967773,15.691014289855957,13.587034225463867,11.195368766784668,7.719613075256348,6.9372029304504395,5.507908344268799,4.497751235961914,3.5052921772003174,2.724703073501587,1.6162562370300293,1.1263916492462158,0.8834115862846375,0.6681059002876282,0.575545608997345,416.9436340332031,17.99079704284668,10.472599029541016,5.940662384033203,3.730560064315796,2.062462568283081,0.8096402287483215
