episode,reward,steps
0,-178.157657,1000
1,-360.47413,1000
2,-329.608754,1000
3,-249.302787,1000
4,-319.23838,1000
5,-202.727233,1000
6,-301.2557,1000
7,-346.893883,1000
8,-224.285341,1000
9,-389.230502,1000
10,-192.530358,1000
11,-248.549522,1000
12,-251.30215,1000
13,-229.999099,1000
14,-151.944335,1000
15,-164.866939,1000
16,-115.130224,1000
17,-166.18376,1000
18,-130.339361,1000
19,-148.951144,1000
20,-90.903956,1000
21,-102.482801,1000
22,-215.739558,1000
23,-442.663885,1000
24,26.715983,1000
25,258.611582,1000
26,785.905408,1000
27,505.766227,1000
28,240.556498,1000
29,229.164707,1000
30,0.863902,1000
31,1146.507931,1000
32,932.194517,1000
33,1278.867099,1000
34,1602.445698,1000
35,1661.66727,1000
36,1968.720989,1000
37,65.736036,1000
38,2245.13533,1000
39,2310.835538,1000
40,1970.103383,1000
41,136.878059,1000
42,2557.588178,1000
43,2349.80411,1000
44,2288.680429,1000
45,2732.433082,1000
46,2733.884357,1000
47,3025.728696,1000
48,2858.634202,1000
49,3092.275534,1000
50,2795.325783,1000
51,3183.017336,1000
52,2555.137817,1000
53,3161.664532,1000
54,3102.616517,1000
55,-24.146142,1000
56,3362.200645,1000
57,2947.683616,1000
58,3282.242374,1000
59,2988.809916,1000
60,3166.946124,1000
61,3495.210442,1000
62,3564.55907,1000
63,3649.280659,1000
64,3509.274538,1000
65,3543.811051,1000
66,3565.114671,1000
67,3883.905357,1000
68,3629.304321,1000
69,3795.246652,1000
70,3886.977289,1000
71,3819.933155,1000
72,4079.123867,1000
73,4079.158393,1000
74,4012.516174,1000
75,4115.595649,1000
76,4408.474315,1000
77,4033.954034,1000
78,4116.850708,1000
79,4398.449495,1000
80,4372.00619,1000
81,4548.598824,1000
82,4640.66191,1000
83,4161.702178,1000
84,4447.624451,1000
85,4379.362937,1000
86,4574.699417,1000
87,4417.74117,1000
88,4235.069423,1000
89,4755.67197,1000
90,4847.058504,1000
91,4740.832679,1000
92,4806.404237,1000
93,4748.164515,1000
94,4681.221044,1000
95,4904.018157,1000
96,4755.448866,1000
97,4747.312337,1000
98,5246.698288,1000
99,5184.98248,1000
100,5213.235412,1000
101,4973.23724,1000
102,5142.517047,1000
103,5376.843609,1000
104,5392.095063,1000
105,5134.137769,1000
106,5411.559144,1000
107,5528.901014,1000
108,5394.107122,1000
109,5545.146298,1000
110,5093.408707,1000
111,5475.166036,1000
112,5517.900023,1000
113,5463.791436,1000
114,5750.582719,1000
115,5576.035962,1000
116,5437.800344,1000
117,5490.417471,1000
118,5576.582261,1000
119,5824.255821,1000
120,5736.857175,1000
121,5720.502024,1000
122,5773.108977,1000
123,5779.571192,1000
124,5681.295802,1000
125,6040.597695,1000
126,5726.88663,1000
127,5895.368953,1000
128,6002.110127,1000
129,5801.545232,1000
130,6045.424321,1000
131,6006.264847,1000
132,6208.832438,1000
133,6224.697296,1000
134,6221.189654,1000
135,6148.02792,1000
136,5949.9328,1000
137,6165.141717,1000
138,6403.894327,1000
139,6354.221471,1000
