grad_step,env_steps,window_len,penalty_len,n_windows,unique_eps,critic,sv_01,sv_02,sv_03,sv_04,sv_05,sv_06,sv_07,sv_08,sv_09,sv_10,sv_11,sv_12,sv_13,sv_14,sv_15,sv_16,sv_17,pen_sv_01,pen_sv_02,pen_sv_03
0,101,17,3,206,1,0,2.167440176010132,1.5985419750213623,0.8594633340835571,0.4259318709373474,0.29645904898643494,0.18382443487644196,0.15025754272937775,0.14598876237869263,0.13958212733268738,0.12530659139156342,0.10679887235164642,0.10220881551504135,0.09843316674232483,0.08135038614273071,0.07753654569387436,0.07201623171567917,0.06620096415281296,1.1264196634292603,0.2215525209903717,0.09895893186330795
0,101,17,3,206,1,1,7.722555637359619,3.3764052391052246,1.65250563621521,0.7091519832611084,0.43904370069503784,0.3842993378639221,0.36885538697242737,0.35493263602256775,0.34268540143966675,0.3331785202026367,0.3126768171787262,0.2958495020866394,0.2789183557033539,0.2742695212364197,0.2502303421497345,0.2111126333475113,0.20109564065933228,3.0731313228607178,0.4420889616012573,0.2970883250236511
200,301,17,3,219,2,0,626.5343017578125,121.3330078125,108.65501403808594,25.068574905395508,7.721973419189453,4.3078484535217285,3.48872709274292,2.821871280670166,2.270890712738037,1.972861647605896,1.5635062456130981,1.4654779434204102,1.452897071838379,1.3142714500427246,1.280517339706421,1.163245439529419,0.9198156595230103,276.7330017089844,17.91531753540039,2.4216349124908447
200,301,17,3,219,2,1,625.4732055664062,120.1679916381836,106.58221435546875,24.715763092041016,7.425561428070068,4.073963642120361,3.556347608566284,2.928192615509033,2.3166749477386475,2.1225500106811523,1.8881762027740479,1.776862382888794,1.5120989084243774,1.470475435256958,1.3235280513763428,1.1761293411254883,0.9191117286682129,275.58734130859375,17.519296646118164,2.4204354286193848
400,501,17,3,231,3,0,877.71044921875,113.82793426513672,107.06114196777344,23.156431198120117,12.368658065795898,7.381789207458496,4.194063186645508,2.836277961730957,2.4331204891204834,1.8124805688858032,1.4505186080932617,1.1691468954086304,1.109157681465149,0.9019383788108826,0.8081203103065491,0.6919906139373779,0.6290059089660645,375.4916687011719,17.617931365966797,2.3936400413513184
400,501,17,3,231,3,1,878.64892578125,113.76232147216797,107.39580535888672,23.04093360900879,11.355968475341797,6.865338325500488,3.5844225883483887,2.5515103340148926,2.4453394412994385,1.7669901847839355,1.4200596809387207,1.255975365638733,1.1650985479354858,1.0417389869689941,0.9398365616798401,0.6782497763633728,0.5734097361564636,375.95965576171875,17.49703598022461,2.3679580688476562
600,701,17,3,242,4,0,1093.0386962890625,127.17616271972656,113.88050079345703,22.208585739135742,15.456753730773926,8.137871742248535,4.621016025543213,3.956249475479126,2.307291269302368,1.8755402565002441,1.4429374933242798,1.3350348472595215,1.2051093578338623,1.064020037651062,0.9314796328544617,0.8575698733329773,0.7529675364494324,458.2981262207031,18.715057373046875,2.6793134212493896
600,701,17,3,242,4,1,1092.6607666015625,127.29116821289062,113.93352508544922,21.993515014648438,14.979621887207031,7.695354461669922,4.046576976776123,3.585085153579712,2.226473331451416,1.8044519424438477,1.4953151941299438,1.3496538400650024,1.2474709749221802,1.1175510883331299,0.938226580619812,0.9103298783302307,0.8790145516395569,458.2657775878906,18.82640266418457,2.5995655059814453
800,901,17,3,240,5,0,1301.270751953125,145.37168884277344,109.02655029296875,30.568815231323242,15.978629112243652,9.433464050292969,5.4114203453063965,3.813570499420166,2.5923240184783936,1.9224828481674194,1.6326038837432861,1.2882874011993408,1.165663242340088,1.0508977174758911,1.0034983158111572,0.7993067502975464,0.725839376449585,556.6532592773438,22.048648834228516,2.9844789505004883
800,901,17,3,240,5,1,1300.4532470703125,145.2907257080078,108.91531372070312,30.33709144592285,15.838374137878418,9.356538772583008,5.17636775970459,3.595162868499756,2.504368305206299,2.034177303314209,1.7487969398498535,1.3288418054580688,1.1630053520202637,1.1038278341293335,0.9202141165733337,0.8651880621910095,0.7407366633415222,556.3286743164062,21.90650749206543,2.9036459922790527
